Date,Price,Open,High,Low,Change %
"May 13, 2014",59.465,59.95,59.965,59.445,-0.98
"May 12, 2014",60.055,59.9,60.115,59.508,0.15
"May 09, 2014",59.965,60.06,60.1,59.865,0.11
"May 08, 2014",59.9,59.95,60.1,59.865,-0.21
"May 07, 2014",60.025,60.04,60.155,59.95,0.07
"May 06, 2014",59.985,60.06,60.245,59.96,-0.42
"May 05, 2014",60.24,60.08,60.25,59.998,0.09
"May 02, 2014",60.185,60.22,60.285,60.09,-0.14
"May 01, 2014",60.27,60.26,60.27,60.26,-0.12
"Apr 30, 2014",60.345,60.35,60.415,60.22,-0.13
"Apr 29, 2014",60.425,60.61,60.635,60.31,-0.37
"Apr 28, 2014",60.65,60.6,60.74,60.428,0.01
"Apr 25, 2014",60.645,61.05,61.15,60.538,-0.76
"Apr 24, 2014",61.11,61,61.14,61,0.02
"Apr 23, 2014",61.095,60.88,61.195,60.86,0.54
"Apr 22, 2014",60.765,60.67,60.885,60.63,0.28
"Apr 21, 2014",60.595,60.26,60.615,60.26,0.5
"Apr 18, 2014",60.295,60.29,60.295,60.23,0
"Apr 17, 2014",60.295,60.29,60.505,60.265,-0.13
"Apr 16, 2014",60.375,60.3,60.425,60.18,0.23
"Apr 15, 2014",60.235,60.35,60.355,60.2,-0.03
"Apr 14, 2014",60.255,60.25,60.255,60.25,0.12
"Apr 11, 2014",60.18,60.32,60.345,60.135,0.17
"Apr 10, 2014",60.075,60.04,60.295,60.03,-0.12
"Apr 09, 2014",60.145,59.97,60.155,59.82,0.09
"Apr 08, 2014",60.09,60.12,60.15,60.02,-0.04
"Apr 07, 2014",60.115,59.9,60.25,59.76,0.05
"Apr 04, 2014",60.085,60.35,60.398,60.07,-0.14
"Apr 03, 2014",60.17,59.95,60.3,59.83,0.44
"Apr 02, 2014",59.905,59.81,59.915,59.57,-0.18
"Apr 01, 2014",60.015,59.925,60.045,59.925,0
"Mar 31, 2014",60.015,59.9,60.02,59.9,0.21
"Mar 28, 2014",59.89,60.18,60.19,59.68,-0.59
"Mar 27, 2014",60.245,60.24,60.355,60.12,0.17
