Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2015",45.2,45.2,45.2,45.2,0,0.33
"Aug 31, 2015",45.05,45.05,45.05,45.05,0,0.56
"Aug 28, 2015",44.8,44.8,44.8,44.8,0,0
"Aug 27, 2015",44.8,44.8,44.8,44.8,0,-0.22
"Aug 26, 2015",44.9,44.9,44.9,44.9,0,3.7
"Aug 25, 2015",43.3,43.3,43.3,43.3,0,-1.7
"Aug 24, 2015",44.05,44.05,44.05,44.05,0,-1.23
"Aug 21, 2015",44.6,44.6,44.6,44.6,0,-0.78
"Aug 20, 2015",44.95,44.95,44.95,44.95,0,0.22
"Aug 19, 2015",44.85,44.85,44.85,44.85,0,-0.22
"Aug 18, 2015",44.95,44.95,44.95,44.95,0,-0.22
"Aug 17, 2015",45.05,45.05,45.05,45.05,0,0
"Aug 14, 2015",45.05,45.05,45.05,45.05,0,0
"Aug 13, 2015",45.05,45.05,45.05,45.05,0,0
"Aug 12, 2015",45.05,45.05,45.05,45.05,0,2.74
"Aug 11, 2015",43.85,43.85,43.85,43.85,0,0
"Aug 10, 2015",43.85,43.85,43.85,43.85,0,0
"Aug 07, 2015",43.85,43.85,43.85,43.85,0,0
"Aug 06, 2015",43.85,43.85,43.85,43.85,0,0
"Aug 05, 2015",43.85,43.85,43.85,43.85,0,0
"Aug 04, 2015",43.85,43.85,43.85,43.85,0,0
"Aug 03, 2015",43.85,43.85,43.85,43.85,0,0
"Jul 31, 2015",43.85,43.85,43.85,43.85,0,0.34
"Jul 30, 2015",43.7,43.7,43.7,43.7,0,-0.79
"Jul 29, 2015",44.05,44.05,44.05,44.05,0,0
"Jul 28, 2015",44.05,44.05,44.05,44.05,0,-0.79
"Jul 27, 2015",44.4,44.4,44.4,44.4,0,0.45
"Jul 24, 2015",44.2,44.2,44.2,44.2,0,0
"Jul 23, 2015",44.2,44.2,44.2,44.2,0,0
"Jul 22, 2015",44.2,44.2,44.2,44.2,0,0.34
"Jul 21, 2015",44.05,44.05,44.05,44.05,0,0.18
"Jul 20, 2015",43.97,43.97,43.97,43.97,0,0.05
"Jul 17, 2015",43.95,43.95,43.95,43.95,0,-0.05
"Jul 16, 2015",43.97,43.97,43.97,43.97,0,1.38
"Jul 15, 2015",43.37,43.37,43.37,43.37,0,0.05
"Jul 14, 2015",43.35,43.35,43.35,43.35,0,0.7
"Jul 13, 2015",43.05,43.05,43.05,43.05,0,0
"Jul 10, 2015",43.05,43.05,43.05,43.05,0,-0.99
"Jul 09, 2015",43.48,43.48,43.48,43.48,0,2.62
"Jul 08, 2015",42.37,42.37,42.37,42.37,0,0.52
"Jul 07, 2015",42.15,42.15,42.15,42.15,0,1.52
"Jul 06, 2015",41.52,41.52,41.52,41.52,0,0.05
"Jul 03, 2015",41.5,41.5,41.5,41.5,0,0
"Jul 02, 2015",41.5,41.5,41.5,41.5,0,0.44
"Jul 01, 2015",41.32,41.32,41.32,41.32,0,0.36
"Jun 30, 2015",41.17,41.17,41.17,41.17,0,-0.15
"Jun 29, 2015",41.23,41.23,41.23,41.23,0,-0.12
"Jun 26, 2015",41.28,41.28,41.28,41.28,0,-0.1
"Jun 25, 2015",41.32,41.32,41.32,41.32,0,1.15
"Jun 24, 2015",40.85,40.85,40.85,40.85,0,0
"Jun 23, 2015",40.85,40.85,40.85,40.85,0,2.2
"Jun 22, 2015",39.97,39.97,39.97,39.97,0,0
"Jun 19, 2015",39.97,39.97,39.97,39.97,0,1.19
"Jun 18, 2015",39.5,39.5,39.5,39.5,0,1.41
"Jun 17, 2015",38.95,38.95,38.95,38.95,0,1.64
"Jun 16, 2015",38.32,38.32,38.32,38.32,0,0.66
"Jun 15, 2015",38.07,38.07,38.07,38.07,0,0.53
"Jun 12, 2015",37.87,37.87,37.87,37.87,0,-4.56
"Jun 11, 2015",39.68,39.68,39.68,39.68,0,-2.91
"Jun 10, 2015",40.87,40.87,40.87,40.87,0,-3.61
"Jun 09, 2015",42.4,42.4,42.4,42.4,0,0
"Jun 08, 2015",42.4,42.4,42.4,42.4,0,0
"Jun 05, 2015",42.4,42.4,42.4,42.4,0,-0.54
"Jun 04, 2015",42.63,42.63,42.63,42.63,0,-0.35
"Jun 03, 2015",42.78,42.78,42.78,42.78,0,-0.21
"Jun 02, 2015",42.87,42.87,42.87,42.87,0,0.09
"Jun 01, 2015",42.83,42.83,42.83,42.83,0,0
"May 29, 2015",42.83,42.83,42.83,42.83,0,-0.93
"May 28, 2015",43.23,43.23,43.23,43.23,0,-1.48
"May 27, 2015",43.88,43.88,43.88,43.88,0,-0.72
"May 26, 2015",44.2,44.2,44.2,44.2,0,0.91
"May 22, 2015",43.8,43.8,43.8,43.8,0,-0.57
"May 21, 2015",44.05,44.05,44.05,44.05,0,0
"May 20, 2015",44.05,44.05,44.05,44.05,0,-1.12
"May 19, 2015",44.55,44.55,44.55,44.55,0,-1.76
"May 18, 2015",45.35,45.35,45.35,45.35,0,0
"May 15, 2015",45.35,45.35,45.35,45.35,0,0
"May 14, 2015",45.35,45.35,45.35,45.35,0,-0.33
"May 13, 2015",45.5,45.5,45.5,45.5,0,0
"May 12, 2015",45.5,45.5,45.5,45.5,0,1.34
"May 11, 2015",44.9,44.9,44.9,44.9,0,0
"May 08, 2015",44.9,44.9,44.9,44.9,0,0
"May 07, 2015",44.9,44.9,44.9,44.9,0,0
"May 06, 2015",44.9,44.9,44.9,44.9,0,0
